key,status,summary,priority
RFE-294,Under Consideration,Allow search option that 'contains' string; smart folder or filters,P1
RFE-502,Under Consideration,Ability to set DHCP options globally or Grid/Member level but selectively unset or leave blank/remove at a lower level,P1
RFE-938,Not Under Consideration,Ability to add Bulk Hosts in an IPV6 network.,P1
RFE-1490,Under Consideration,Dynamic Extensible Attributes (EA),P3
RFE-1491,Not Under Consideration,Ability to assign a the same ip address to multiple MAC address,P3
RFE-2356,Not Under Consideration,GUI should reposition itself if we are clicking on the Back button in browser,P3
RFE-2510,Not Under Consideration,Request for DHCPv6 Failover Support,P3
RFE-3738,Under Consideration,More IPv6 Reports needed in the Reporting Appliance,P3
RFE-4701,Planned,IPv6 Dynamic Reverse Mapping aka Synthetized Reverse DNS,P2
RFE-5289,Under Consideration,Ability to export/forward splunk data to an external splunk server,P2
RFE-5573,Not Under Consideration,Feature to enhance the Grid Upgrade process (In scheduled and sequential upgrade) to minimize the service interruption.,P3
RFE-5580,Not Under Consideration,"Ability to filter based on ""state"" of the lease in the ""Current Leases"" tab.",P3
RFE-6644,Not Under Consideration,Support for integration with a password vault (CyberArk),P1
RFE-6645,Planned,Accept and use EDNS-Client-Subnet (ECS) in queries to reduce aggregation against ADP rules,P1
RFE-6820,Under Consideration,Basic Search for DNS Name should find Host Aliases,P1
RFE-6873,Planned,DHCPv6 Fixed Address / Host Address based on the value of RFC 6939,P1
RFE-7048,Development,Add IPv6 support to TACACS+,P1
RFE-7517,Under Consideration,"API and RESTful WAPI call for Restart,Reboot,Shutdown,Force HA failover,Restart GUI.",P3
RFE-7535,Under Consideration,DTC HTTP\HTTPS Add Login Credentials to Health Check,P3
RFE-7650,Under Consideration,MGM and GM GUI Parities,P3
RFE-7678,Planned,New Report for displaying TCP DNS Usage,P3
RFE-8004,Not Under Consideration,External Backup for rotated debug logs (infoblox.log files),P2
RFE-8054,Closed,Host name/FQDN support for address/server certificate used in secure TCP transport for external syslog server,P3
RFE-8091,Not Under Consideration,IPV4 Filter Option Default and Column View,P3
RFE-8248,Under Consideration,Azure vDiscovery Request: Subnets with CIDR equal to the Virtual Network CIDR are not supported,P3
RFE-8425,Under Consideration,Graceful DNSSEC un-signing of a sub-zone,P3
RFE-8543,Under Consideration,Throttle Threat Protection logging longer than 1/sec,P3
RFE-8635,Under Consideration,Inactive IP address report does not work correctly,P3
RFE-8680,Development,vDiscovery feature to perform discovery across multiple AWS accounts,P3
RFE-8856,Not Under Consideration,Monitor Number of active API/GUI Sessions,P3
RFE-8925,Under Consideration,max RPZ entries per member model usage display and enforcement,P3
RFE-9219,Closed,WAPI DHCP Lease object - searchable binding_state,P3
RFE-9282,Under Consideration,NIOS Prometheus streaming telemetry support,P3
RFE-9322,Not Under Consideration,Enable SNMP trap & email notification when DTC resources go down,P3
RFE-9554,Under Consideration,NIOS Database Encryption for vNIOS Cloud Members,P3
RFE-9673,Under Consideration,CSP MSP funcionality,P3
RFE-9683,Under Consideration,Support for 'Required' flags in both CSV and WAPI,P2
RFE-9738,Under Consideration,"Feature to automatically group devices based on Type,OS etc in NetMRI",P3
RFE-9738,Under Consideration,"Feature to automatically group devices based on Type,OS etc in NetMRI",P3
RFE-9812,Not Under Consideration,Use join function on the grid via the WAPI over MGMT interface,P3
RFE-9829,Under Consideration,"Ability to modify, edit and delete Cloud objects regardless of delegation",P2
RFE-10145,Under Consideration,Charter - Support for Versa SDN/SD-WAN engine in Network Insight,P3
RFE-10175,Closed,Accelerated FastPath for Azure Public Cloud ,P2
RFE-10407,Not Under Consideration,ADFS SSO Authentication in NIOS - Support ADFS SSO as IDP type in SAML 2.0 Authentication,P3
RFE-10444,Under Consideration,Support for DNS over HTTP/3,P3
RFE-10495,Under Consideration,Network Insight collects Certificate Information during discovery,P3
RFE-10579,Under Consideration,200324-000017 | AVL List GmbH | View BloxOne DDI reports on NIOS reporting server,P3
RFE-10646,Development,Support for ExternalDNS,P3
RFE-10660,Under Consideration,Ability to Disable HTTPS Certificate Regeneration for Mismatched certificates - Required for DoT/DoH anycast,P3
RFE-10963,Not Under Consideration,API call for GMC promotion,P3
RFE-11059,Not Under Consideration,Network Time Security for the Network Time Protocol (RFC-8915),P3
RFE-11092,Planned,Auto-create IPAM records for all Grid member interfaces,P3
RFE-11119,Closed,"Every users must select the group to authenticate by itself and an option to select ""Match all groups""",P3
RFE-11130,Under Consideration,Ability to use DNS integrity check if stealth name servers configured for the zone,P3
RFE-11233,Under Consideration,DNSSEC: Resolve Scalability issues with large signed zones.,P3
RFE-11252,Under Consideration,"DoH/DoT service visibility, reporting and logs",P3
RFE-11443,Closed,To improve syslog writing process,P3
RFE-11535,Under Consideration,Support for VxLAN Management,P3
RFE-11542,Under Consideration,Support for vnios reporting appliance on GCP public cloud,P3
RFE-11551,Under Consideration,vNIOS Azure Private Link Endpoints vDiscovery,P3
RFE-11693,Not Under Consideration,NIOS HA solution to work over OSI Layer 3 allowing DC to DC failover scenario (no stretched Layer 2 VLAN),P3
RFE-11858,Closed,00327440 | AIST | Cannot set an alias email address in BloxOne Threat Defense Cloud Integration,P3
RFE-11858,Closed,00327440 | AIST | Cannot set an alias email address in BloxOne Threat Defense Cloud Integration,P3
RFE-11872,Not Under Consideration,Add schedule ability to CSV import,P4
RFE-11920,Not Under Consideration,DNS Zone Transfer over TLS (XoT),P3
RFE-11965,Under Consideration,DNSTAP in Bind,P3
RFE-12012,Development,vDiscovery feature to perform discovery across multiple AWS accounts for AWS Govcloud accounts,P3
RFE-12100,Planned,NIOS sync with GCP cloud native DNS - Phase 1 (Read only),P3
RFE-12126,Under Consideration,vDiscovery for AWS Outposts,P1
RFE-12126,Under Consideration,vDiscovery for AWS Outposts,P1
RFE-12151,Development,"Enable NIOS HA (High Availability) from within the public cloud (AWS, Azure, GCP, etc.)",P3
RFE-12286,Under Consideration,NIOS WAPI performance issues,P3
